id;item;Atividade;Grupo;Subgrupo;Tipo
1;Rateio dos Associados;Gestão Associativa;Repasses aos Associados;Sobra Líquida;Despesa
2;Aluguel;Operação e Produção;Infraestrutura Predial;Locação;Despesa
3;Fita de arqueamento para fardos;Operação e Produção;Produção e Equipamentos;Insumos de Produção;Despesa
4;Outras despesas de operação;Operação e Produção;Despesas Gerais;Outros;Despesa
5;Impostos/taxas sobre prestação de serviços;Gestão Administrativa e Financeira;Obrigações e Taxas;Tributos;Despesa
6;Seguro de veículo;Operação e Produção;Frota e Logística;Seguros e Documentação;Despesa
7;Água;Operação e Produção;Infraestrutura Predial;Utilidades Básicas;Despesa
8;Antimônio;Comercialização de Materiais Recicláveis;Metal;Outros Metais;Receita
9;Aço inoxidável;Comercialização de Materiais Recicláveis;Metal;Aço e Ferro;Receita
10;Chumbo;Comercialização de Materiais Recicláveis;Metal;Outros Metais;Receita
11;Tubinho de desodorante, spray e aerossois;Comercialização de Materiais Recicláveis;Metal;Alumínio;Receita
12;Radiador de cobre;Comercialização de Materiais Recicláveis;Metal;Cobre;Receita
13;Radiador de Alumínio;Comercialização de Materiais Recicláveis;Metal;Alumínio;Receita
14;Perfil de persiana (tubos, chapas);Comercialização de Materiais Recicláveis;Metal;Alumínio;Receita
15;Liga de aço-carbono;Comercialização de Materiais Recicláveis;Metal;Aço e Ferro;Receita
16;Aquisição de ferramentas;Operação e Produção;Produção e Equipamentos;Ferramentas;Despesa
17;Outras despesas de manutenção;Operação e Produção;Produção e Equipamentos;Manutenção Geral;Despesa
18;Bateria;Comercialização de Materiais Recicláveis;Elétrico ou Eletrônico;Componentes Específicos;Receita
19;INSS;Gestão Associativa;Repasses aos Associados;Encargos sobre Rateio;Despesa
20;Locação de equipamentos;Operação e Produção;Produção e Equipamentos;Locação de Máquinas;Despesa
21;Materiais de higiene e limpeza;Operação e Produção;Infraestrutura Predial;Conservação e Limpeza;Despesa
22;Apoio técnico;Gestão Administrativa e Financeira;Serviços Profissionais;Consultoria;Despesa
23;Taxas públicas (alvarás, licenças, vistorias);Gestão Administrativa e Financeira;Obrigações e Taxas;Licenças e Alvarás;Despesa
24;Multas de trânsito;Operação e Produção;Frota e Logística;Multas e Infrações;Despesa
25;Telefone;Operação e Produção;Infraestrutura Predial;Comunicação;Despesa
26;Obras e reformas;Operação e Produção;Infraestrutura Predial;Manutenção Predial;Despesa
27;PEAD Injeção (caixaria);Comercialização de Materiais Recicláveis;Plástico;PEAD;Receita
28;PET Azul;Comercialização de Materiais Recicláveis;Plástico;PET;Receita
29;PET Bandeja;Comercialização de Materiais Recicláveis;Plástico;PET;Receita
30;PET Colorido;Comercialização de Materiais Recicláveis;Plástico;PET;Receita
31;PET Cristal;Comercialização de Materiais Recicláveis;Plástico;PET;Receita
32;PET Verde;Comercialização de Materiais Recicláveis;Plástico;PET;Receita
33;PEAD Geomembrana;Comercialização de Materiais Recicláveis;Plástico;PEAD;Receita
34;PEAD Filme stretch;Comercialização de Materiais Recicláveis;Plástico;PEAD;Receita
35;PEAD Filme cristal;Comercialização de Materiais Recicláveis;Plástico;PEAD;Receita
36;PEAD Embalagens de produtos de limpeza;Comercialização de Materiais Recicláveis;Plástico;PEAD;Receita
37;Outros papéis;Comercialização de Materiais Recicláveis;Papel;Mistura de Papéis;Receita
